,ResponseId,SetID,value,Real Price,Price Cont,PriceMin5,Price0,Price2,All RES,wind,solar,hydro,biomass,Slovak,Can Change,No change,Gender_f,Age,Income,No Income,Energy Consumption,payment_1,Region West,Region East,Household_size,Concern_1,RES_attitude_1,Know_green_provider,Providers_count,Appliance_count,Task_temp,Task_consumption,Task_appliances,Task_source,SetID_1
0,R_1pzMUhhsh8aVRYi,Set1_a,0,45,-5,1,0,0,-1,-1,-1,-1,-1,-1,1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,1
1,R_1pzMUhhsh8aVRYi,Set1_b,1,50,0,0,1,0,0,0,0,0,1,1,-1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,1
2,R_1pzMUhhsh8aVRYi,Set2_a,0,45,-5,1,0,0,-1,-1,-1,-1,-1,-1,1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,2
3,R_1pzMUhhsh8aVRYi,Set2_b,1,50,0,0,1,0,0,0,0,1,0,1,-1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,2
4,R_1pzMUhhsh8aVRYi,Set3_a,0,55,5,-1,-1,-1,0,0,1,0,0,1,1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,3
5,R_1pzMUhhsh8aVRYi,Set3_b,1,55,5,-1,-1,-1,1,0,0,0,0,-1,-1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,3
6,R_1pzMUhhsh8aVRYi,Set4_a,0,55,5,-1,-1,-1,0,0,0,1,0,-1,1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,4
7,R_1pzMUhhsh8aVRYi,Set4_b,1,55,5,-1,-1,-1,1,0,0,0,0,1,1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,4
8,R_1pzMUhhsh8aVRYi,Set5_a,1,50,0,0,1,0,0,1,0,0,0,1,-1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,5
9,R_1pzMUhhsh8aVRYi,Set5_b,0,45,-5,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,5
10,R_1pzMUhhsh8aVRYi,Set6_a,1,52,2,0,0,1,1,0,0,0,0,-1,1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,6
11,R_1pzMUhhsh8aVRYi,Set6_b,0,45,-5,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,6
12,R_1pzMUhhsh8aVRYi,Set7_a,1,55,5,-1,-1,-1,0,0,0,0,1,1,1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,7
13,R_1pzMUhhsh8aVRYi,Set7_b,0,55,5,-1,-1,-1,0,0,1,0,0,1,-1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,7
14,R_1pzMUhhsh8aVRYi,Set8_a,0,55,5,-1,-1,-1,0,0,1,0,0,-1,1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,8
15,R_1pzMUhhsh8aVRYi,Set8_b,1,52,2,0,0,1,0,1,0,0,0,1,1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,8
16,R_1pzMUhhsh8aVRYi,Set9_a,1,50,0,0,1,0,0,0,1,0,0,-1,-1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,9
17,R_1pzMUhhsh8aVRYi,Set9_b,0,55,5,-1,-1,-1,1,0,0,0,0,-1,1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,9
18,R_1pzMUhhsh8aVRYi,Set10_a,1,52,2,0,0,1,0,0,0,1,0,1,-1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,10
19,R_1pzMUhhsh8aVRYi,Set10_b,0,50,0,0,1,0,0,0,0,0,1,1,-1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,10
20,R_1pzMUhhsh8aVRYi,Set11_a,1,52,2,0,0,1,0,0,0,0,1,1,-1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,11
21,R_1pzMUhhsh8aVRYi,Set11_b,0,50,0,0,1,0,0,0,0,1,0,-1,1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,11
22,R_1pzMUhhsh8aVRYi,Set12_a,1,52,2,0,0,1,1,0,0,0,0,-1,1,1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,12
23,R_1pzMUhhsh8aVRYi,Set12_b,0,55,5,-1,-1,-1,0,1,0,0,0,1,-1,-1,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2,12
24,R_AmTsD13JmmjO3iV,Set1_a,1,28,-5,1,0,0,-1,-1,-1,-1,-1,-1,1,-1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,1
25,R_AmTsD13JmmjO3iV,Set1_b,0,33,0,0,1,0,0,0,0,0,1,1,-1,1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,1
26,R_AmTsD13JmmjO3iV,Set2_a,1,28,-5,1,0,0,-1,-1,-1,-1,-1,-1,1,-1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,2
27,R_AmTsD13JmmjO3iV,Set2_b,0,33,0,0,1,0,0,0,0,1,0,1,-1,1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,2
28,R_AmTsD13JmmjO3iV,Set3_a,1,38,5,-1,-1,-1,0,0,1,0,0,1,1,-1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,3
29,R_AmTsD13JmmjO3iV,Set3_b,0,38,5,-1,-1,-1,1,0,0,0,0,-1,-1,1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,3
30,R_AmTsD13JmmjO3iV,Set4_a,0,38,5,-1,-1,-1,0,0,0,1,0,-1,1,1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,4
31,R_AmTsD13JmmjO3iV,Set4_b,1,38,5,-1,-1,-1,1,0,0,0,0,1,1,-1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,4
32,R_AmTsD13JmmjO3iV,Set5_a,1,33,0,0,1,0,0,1,0,0,0,1,-1,1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,5
33,R_AmTsD13JmmjO3iV,Set5_b,0,28,-5,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4,5
