,ResponseId,value diff,Real Price diff,All RES diff,wind diff,solar diff,hydro diff,biomass diff,Slovak diff,Can Change diff,No change diff,Gender_f,Age,Income,No Income,Energy Consumption,Region West,Region East,Household_size,Concern_1,RES_attitude_1,Know_green_provider,Providers_count,Appliance_count,Task_temp,Task_consumption,Task_appliances,Task_source
0,R_1pzMUhhsh8aVRYi,0,-5,-1,-1,-1,-1,-2,-2,2,-2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
1,R_1pzMUhhsh8aVRYi,0,-5,-1,-1,-1,-2,-1,-2,2,-2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
2,R_1pzMUhhsh8aVRYi,0,0,-1,0,1,0,0,2,2,-2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
3,R_1pzMUhhsh8aVRYi,0,0,-1,0,0,1,0,-2,0,2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
4,R_1pzMUhhsh8aVRYi,1,5,1,2,1,1,1,0,0,2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
5,R_1pzMUhhsh8aVRYi,1,7,2,1,1,1,1,-2,2,2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
6,R_1pzMUhhsh8aVRYi,1,0,0,0,-1,0,1,0,2,2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
7,R_1pzMUhhsh8aVRYi,0,3,0,-1,1,0,0,-2,0,2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
8,R_1pzMUhhsh8aVRYi,1,-5,-1,0,1,0,0,0,-2,2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
9,R_1pzMUhhsh8aVRYi,1,2,0,0,0,1,-1,0,0,2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
10,R_1pzMUhhsh8aVRYi,1,2,0,0,0,-1,1,2,-2,2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
11,R_1pzMUhhsh8aVRYi,1,-3,1,-1,0,0,0,-2,2,2,0,38,3,0,0,1,0,1,1,4,0,1,4,4,5,5,2
12,R_AmTsD13JmmjO3iV,1,-5,-1,-1,-1,-1,-2,-2,2,-2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
13,R_AmTsD13JmmjO3iV,1,-5,-1,-1,-1,-2,-1,-2,2,-2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
14,R_AmTsD13JmmjO3iV,1,0,-1,0,1,0,0,2,2,-2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
15,R_AmTsD13JmmjO3iV,0,0,-1,0,0,1,0,-2,0,2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
16,R_AmTsD13JmmjO3iV,1,5,1,2,1,1,1,0,0,2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
17,R_AmTsD13JmmjO3iV,1,7,2,1,1,1,1,-2,2,2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
18,R_AmTsD13JmmjO3iV,1,0,0,0,-1,0,1,0,2,2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
19,R_AmTsD13JmmjO3iV,0,3,0,-1,1,0,0,-2,0,2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
20,R_AmTsD13JmmjO3iV,0,-5,-1,0,1,0,0,0,-2,2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
21,R_AmTsD13JmmjO3iV,1,2,0,0,0,1,-1,0,0,2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
22,R_AmTsD13JmmjO3iV,0,2,0,0,0,-1,1,2,-2,2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
23,R_AmTsD13JmmjO3iV,1,-3,1,-1,0,0,0,-2,2,2,0,24,4,0,1,0,1,2,3,4,0,6,2,3,4,3,4
24,R_21tw9KHb0ML81SJ,1,-5,-1,-1,-1,-1,-2,-2,2,-2,0,40,6,0,1,1,0,4,4,4,0,2,3,4,4,4,2
25,R_21tw9KHb0ML81SJ,1,-5,-1,-1,-1,-2,-1,-2,2,-2,0,40,6,0,1,1,0,4,4,4,0,2,3,4,4,4,2
26,R_21tw9KHb0ML81SJ,1,0,-1,0,1,0,0,2,2,-2,0,40,6,0,1,1,0,4,4,4,0,2,3,4,4,4,2
