,ResponseId,Gender_f,Age,Income,No Income,Energy Consumption,payment_1,Region West,Region East,Household_size,Concern_1,RES_attitude_1,Know_green_provider,Providers_count,Appliance_count,Task_temp,Task_consumption,Task_appliances,Task_source
0,R_1pzMUhhsh8aVRYi,0,38,3,0,0,50,1,0,1,1,4,0,1,4,4,5,5,2
1,R_AmTsD13JmmjO3iV,0,24,4,0,1,33,0,1,2,3,4,0,6,2,3,4,3,4
2,R_21tw9KHb0ML81SJ,0,40,6,0,1,11,1,0,4,4,4,0,2,3,4,4,4,2
3,R_1fki1n2Z31QFaAq,0,35,5,0,1,63,1,0,4,3,4,0,3,1,1,4,4,4
4,R_3En9cfWxVnHUMwl,0,25,5,0,1,80,1,0,4,2,4,0,2,3,2,4,2,1
5,R_10w0arken0yjyiE,0,39,6,0,0,49,1,0,2,4,4,0,5,4,3,5,5,4
6,R_3Echvqpx2Mcgyjj,0,23,6,0,0,99,1,0,3,4,5,0,5,5,5,1,5,3
7,R_3e4RzoYpyOT7G5r,0,24,5,0,0,100,1,0,2,4,5,1,6,3,3,4,4,1
8,R_WfIQ2lp0BvRxXkl,0,25,3,0,1,30,1,0,2,3,4,0,5,3,1,5,4,2
9,R_9Nqo22UZnseRDAR,0,23,2,0,0,103,1,0,4,4,4,0,3,3,5,5,2,3
10,R_2xzQhVGmqgiS5v8,0,38,0,1,1,35,0,0,3,4,4,0,5,3,3,4,5,4
11,R_1NE0ja1MHuGSQlj,0,24,5,0,1,70,0,0,5,1,2,0,4,4,2,2,3,1
12,R_1rf938GpF3hZSxE,0,29,3,0,1,95,0,1,2,3,4,0,5,5,2,3,4,1
13,R_3HjKSUgxhrrAKla,0,33,5,0,0,150,1,0,3,3,5,0,6,7,4,2,4,2
14,R_2TRywqrt99hmIIB,0,28,3,0,0,102,0,1,3,4,3,0,1,5,5,4,3,2
15,R_1Qhm6M7uHVKFG0W,0,34,3,0,1,20,1,0,1,2,4,0,2,2,3,5,4,3
16,R_Rz9uPyjaVEKKY3D,0,32,5,0,0,30,1,0,2,4,4,1,7,6,2,5,5,1
17,R_2UhzFoJUuRmG15q,0,23,3,0,0,68,0,0,3,5,4,0,6,3,2,4,4,2
18,R_AGqCJ4PsUGGvDqN,0,30,5,0,0,72,1,0,4,4,5,0,5,5,4,4,4,2
19,R_1dKsMynngsGmBpt,1,25,4,0,0,103,0,0,2,4,4,0,4,5,4,4,5,1
20,R_3CKs6NZJypryoe0,1,51,4,0,0,67,0,1,3,3,4,0,2,2,4,5,5,3
21,R_3PMqkltDp5DdWQ7,1,47,4,0,1,45,0,1,4,4,4,0,5,2,4,4,5,3
22,R_3p07kfQqtROvpla,1,65,3,0,1,41,0,1,3,2,2,0,3,3,1,4,5,4
23,R_1jd2mK44DPKq8ce,1,57,2,0,1,41,0,1,2,2,4,0,2,4,2,4,5,3
24,R_2EzVVOoOm9o2QLV,1,25,6,0,0,40,0,1,2,3,4,0,4,6,3,4,5,3
25,R_2uW0wjN3F3aSW17,1,56,3,0,1,60,0,1,6,2,2,0,2,2,1,3,4,1
26,R_3IPGGMNc3LRdLyN,1,54,5,0,0,50,0,1,3,3,4,0,2,4,5,5,5,4
27,R_31drmAwlbqXvk8y,1,44,5,0,1,53,0,0,4,3,4,0,4,4,2,4,5,3
28,R_w5eDzoBo47lGFEd,0,22,4,0,0,41,1,0,2,3,5,0,1,8,1,2,3,3
29,R_u3W7CT2dZzzePHH,1,45,4,0,0,26,0,1,2,3,3,0,1,2,2,5,5,1
30,R_3GiUiEG0PiyLt5D,0,46,2,0,1,54,0,1,3,3,4,0,1,4,2,5,5,3
31,R_Uylev4jOvVv1Qhb,0,32,3,0,0,20,0,0,1,4,5,0,4,3,2,5,5,2
32,R_1loYoDN9nZtybKg,1,55,5,0,1,78,0,1,3,3,2,0,2,2,3,4,4,2
33,R_Cdc0K7F94OV29rj,1,44,6,0,1,35,0,1,4,4,5,1,9,3,5,5,5,4
34,R_PHAeunMdv3sIAzT,0,50,4,0,0,45,0,1,3,3,4,0,1,3,3,4,4,3
35,R_3KxZPm16o9OqrQo,1,53,6,0,0,48,0,1,2,4,5,0,2,6,5,5,5,1
36,R_1C8u2OQUscKG5y5,1,51,3,0,0,54,0,1,2,3,4,0,5,3,3,4,4,3
37,R_2CCGcCSM2asSAq7,0,21,6,0,0,158,0,0,3,1,4,0,4,5,1,2,4,1
38,R_2CpQkB5YTdmq84x,1,47,2,0,0,34,0,1,2,3,3,0,3,3,3,5,5,3
39,R_3EbeMRTukisEJj0,1,33,4,0,1,35,0,1,3,3,4,0,4,3,1,5,5,4
40,R_3PAB8Vl1PffUyYf,0,34,3,0,1,20,1,0,1,4,4,0,2,3,1,4,3,1
41,R_2s1G7dMutABjtWq,1,49,4,0,0,145,0,1,6,3,3,0,2,5,1,5,5,5
42,R_eXPXDCq7KlKjbjj,0,55,2,0,1,118,1,0,6,5,5,0,4,4,5,5,5,5
43,R_32XAPLeDjHfcfJl,0,52,3,0,1,82,0,1,3,3,4,0,4,5,3,4,4,3
44,R_1otpYpz7p3ZeP4q,0,56,0,1,0,105,1,0,1,4,2,0,4,3,5,5,4,1
45,R_2s6jd6Tv9fwlHFf,1,50,2,0,1,165,0,1,2,3,4,0,2,5,3,3,3,2
46,R_2PzAJQI9nJcluI9,0,57,4,0,1,75,0,1,5,2,1,1,12,4,1,5,5,1
47,R_2VrpzR9wMfCmwZd,1,43,1,0,1,25,0,1,2,1,3,0,2,3,3,4,3,2
48,R_2zbCrp15wyq6z9j,1,51,5,0,1,132,1,0,4,3,4,0,2,4,3,5,4,4
49,R_1H3R2r6vIjROEcp,0,55,4,0,1,45,1,0,2,2,2,0,2,6,1,3,3,1
50,R_3h9jBJ0xJHuOAyX,0,32,6,0,1,77,0,1,3,2,2,0,5,6,3,5,5,1
51,R_20OnVOzt5YFszoN,1,46,4,0,0,31,1,0,4,3,4,0,5,5,5,5,3,1
52,R_3fcIhvE6YC7LyEu,0,58,4,0,1,30,1,0,2,2,2,0,6,5,3,5,5,2
53,R_3DoIQpGvPlB27Bo,0,51,3,0,0,30,1,0,1,3,2,0,3,3,4,3,4,3
54,R_T8frKsR5gKbQC8F,0,48,5,0,1,54,0,0,3,4,4,0,2,2,3,5,5,1
55,R_2bW9OodaE4L9QzR,0,45,3,0,1,45,0,0,4,4,4,0,4,3,4,4,5,4
56,R_sySAfz6mTB8AkI9,0,52,2,0,0,116,1,0,2,1,2,0,1,2,3,4,5,3
57,R_25yjfCnuJx1ntPT,0,56,5,0,1,57,1,0,3,3,5,0,6,4,4,4,5,2
58,R_3RgR2Npo8irw8qS,0,29,5,0,0,50,1,0,2,2,3,1,6,6,2,3,3,1
59,R_10xD8KuZndoaQul,1,45,3,0,0,70,0,1,5,3,4,0,5,6,1,4,5,3
60,R_1rqeUjVce2vcwF6,0,29,4,0,0,32,0,0,2,2,3,0,2,4,4,4,4,1
61,R_3MT3k16QlzV9ja9,0,51,6,0,0,33,0,1,3,2,4,0,2,4,4,4,4,2
62,R_DJnTehAOSTIVZkt,0,41,4,0,1,100,1,0,4,2,2,1,8,6,1,3,4,1
63,R_0ihGPYwTRJi3yfL,0,41,5,0,1,50,0,1,4,3,2,0,4,6,4,4,4,3
64,R_1N3mCIdnLan2x0S,0,53,4,0,1,34,1,0,1,4,5,0,1,4,4,4,5,3
65,R_3MLhSTkSzGq6oFD,0,58,2,0,1,30,0,0,2,3,2,0,6,3,2,4,4,2
66,R_2AGoTY80qo8QRN0,0,55,2,0,1,200,0,1,3,2,2,0,1,5,2,3,3,1
67,R_3KTIWikvnCQwt2g,0,25,5,0,1,117,0,1,7,2,4,0,7,4,3,4,2,1
68,R_31ipTcXwPO5cGD4,0,60,6,0,1,60,1,0,3,3,4,0,4,5,3,4,5,4
69,R_2wMljB95YQVKmx7,0,36,6,0,0,50,0,1,5,2,4,0,3,6,5,5,5,1
70,R_1NwrIhvrgzJTmjq,1,54,0,1,1,101,0,1,3,3,3,0,1,3,5,5,4,5
71,R_1qgkDEP6UIWpZZp,0,50,5,0,1,110,0,1,4,1,2,0,3,4,1,2,5,3
72,R_10vCt9WTrk4u62A,0,40,3,0,1,22,0,1,1,4,3,0,4,4,3,5,5,5
73,R_ewHadQ94yscBpap,0,20,3,0,0,50,0,0,3,4,2,0,5,3,3,5,4,4
74,R_33fjo9CnJUgQt6z,0,49,4,0,1,59,0,0,4,3,2,0,4,4,4,4,4,4
75,R_3fjTDxV54U81GoG,0,30,6,0,1,55,0,1,2,4,4,1,6,5,4,4,4,3
76,R_BLHBTmgufcolywx,0,30,6,0,0,36,0,1,3,3,4,0,4,4,5,4,5,1
77,R_1eEFzBMqc5Gybcq,1,36,4,0,0,42,1,0,2,3,3,0,5,3,4,5,5,3
78,R_2QiKd2LJdBuNrx3,0,24,6,0,0,5,1,0,2,4,5,0,10,5,4,4,4,1
79,R_d5PowcZr2bxfyEh,1,23,3,0,0,57,0,0,3,3,4,0,4,4,2,4,3,3
