StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Data Agreement,Age,Gender,Income,Energy Consumption,Tariff,payment_1,Region,Household_size,Concern_1,RES_attitude_1,Providers,Appliances,Task1_1,Task1_2,Task1_3,Task1_4,Time_Explainer_First Click,Time_Explainer_Last Click,Time_Explainer_Page Submit,Time_Explainer_Click Count,Set1,Time_Set1_First Click,Time_Set1_Last Click,Time_Set1_Page Submit,Time_Set1_Click Count,Set2,Time_Set2_First Click,Time_Set2_Last Click,Time_Set2_Page Submit,Time_Set2_Click Count,Set3,Time_Set3_First Click,Time_Set3_Last Click,Time_Set3_Page Submit,Time_Set3_Click Count,Set4,Time_Set4_First Click,Time_Set4_Last Click,Time_Set4_Page Submit,Time_Set4_Click Count,Set5,Time_Set5_First Click,Time_Set5_Last Click,Time_Set5_Page Submit,Time_Set5_Click Count,Set6,Time_Set6_First Click,Time_Set6_Last Click,Time_Set6_Page Submit,Time_Set6_Click Count,Set7,Time_Set7_First Click,Time_Set7_Last Click,Time_Set7_Page Submit,Time_Set7_Click Count,Set8,Time_Set8_First Click,Time_Set8_Last Click,Time_Set8_Page Submit,Time_Set8_Click Count,Set9,Time_Set9_First Click,Time_Set9_Last Click,Time_Set9_Page Submit,Time_Set9_Click Count,Set10,Time_Set10_First Click,Time_Set10_Last Click,Time_Set10_Page Submit,Time_Set10_Click Count,Set11,Time_Set11_First Click,Time_Set11_Last Click,Time_Set11_Page Submit,Time_Set11_Click Count,Set12,Time_Set12_First Click,Time_Set12_Last Click,Time_Set12_Page Submit,Time_Set12_Click Count,Comments
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Chcel by som Vás poprosiť o zdieľanie názoru na kontrakty dodávky elektriny. 

Cieľom výskumu je pochopiť, aké typy kontraktov sú najcennejšie pre slovenského zákazníka. Výskum je súčasťou bakalárskej práce na Erazmovej Univerzite v Rotterdame a zaberie približne 10 minút.

Vaše odpovede sú veľmi cenné a budú použité v súlade s etickými zásadami. Žiadne osobné dáta nie sú zbierané a odpovede sú úplne anonymné.

Ďakujem Vám vopred za Váš čas a odpovede!",Koľko máte rokov?,Aké je Vaše pohlavie?,Aký je približný mesačný príjem Vašej domácnosti?,"Viete, aké je Vaše sadzobné pásmo za spotrebu elektriny? (dotazník pokračuje aj keď zaškrtnete možnosť Nie)",Zadajte Vaše sadzobné pásmo:,Aká je Vaša približná mesačná platba za elektrickú energiu? - Platba v €,Kde bývate?,Koľko ľudí býva vo Vašej domácnosti?,"Ako veľmi sa obávate, že produkcia elektrickej energie nenávratne poškodí prírodné prostredie? - Moja obava","Myslíte si, že produkcia energie z obnoviteľných zdrojov (OZ) pomáha zlepšovať životné prostredie? - Produkcia z OZ ...",Ktorých dodávateľov energie poznáte? (môžete zaškrtnúť viacero),"Vyberte všetky spotrebiče, ktoré vlastníte (môžete zaškrtnúť viacero):",Zvoľte - Pravidelne a vedome znižujem teplotu na termostate,Zvoľte - Zaujímam sa o zdroj elektrickej energie môjho poskytovateľa,Zvoľte - Vedome šetrím spotrebu elektrickej energie (napr. vypínanie svetiel a spotrebičov),Zvoľte - Nakupujem šetrnejšie spotrebiče,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ktorý z plánov elektrickej energie by ste si zvolili?


Pripomenúť inštrukcie
[QID54-QuestionText]
[QID54-QuestionText]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Ďakujem Vám veľmi pekne za vyplnenie prieskumu. V prípade, že máte pripomienky, komentáre alebo by ste chceli vedieť výsledky výskumu, napíšte mi nižšie (v prípade výsledkov zanechajte kontaktný údaj)."
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID56_FIRST_CLICK""}","{""ImportId"":""QID56_LAST_CLICK""}","{""ImportId"":""QID56_PAGE_SUBMIT""}","{""ImportId"":""QID56_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID26_FIRST_CLICK""}","{""ImportId"":""QID26_LAST_CLICK""}","{""ImportId"":""QID26_PAGE_SUBMIT""}","{""ImportId"":""QID26_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_FIRST_CLICK""}","{""ImportId"":""QID30_LAST_CLICK""}","{""ImportId"":""QID30_PAGE_SUBMIT""}","{""ImportId"":""QID30_CLICK_COUNT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_FIRST_CLICK""}","{""ImportId"":""QID34_LAST_CLICK""}","{""ImportId"":""QID34_PAGE_SUBMIT""}","{""ImportId"":""QID34_CLICK_COUNT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_FIRST_CLICK""}","{""ImportId"":""QID36_LAST_CLICK""}","{""ImportId"":""QID36_PAGE_SUBMIT""}","{""ImportId"":""QID36_CLICK_COUNT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_FIRST_CLICK""}","{""ImportId"":""QID38_LAST_CLICK""}","{""ImportId"":""QID38_PAGE_SUBMIT""}","{""ImportId"":""QID38_CLICK_COUNT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_FIRST_CLICK""}","{""ImportId"":""QID40_LAST_CLICK""}","{""ImportId"":""QID40_PAGE_SUBMIT""}","{""ImportId"":""QID40_CLICK_COUNT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_FIRST_CLICK""}","{""ImportId"":""QID46_LAST_CLICK""}","{""ImportId"":""QID46_PAGE_SUBMIT""}","{""ImportId"":""QID46_CLICK_COUNT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_FIRST_CLICK""}","{""ImportId"":""QID48_LAST_CLICK""}","{""ImportId"":""QID48_PAGE_SUBMIT""}","{""ImportId"":""QID48_CLICK_COUNT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_FIRST_CLICK""}","{""ImportId"":""QID50_LAST_CLICK""}","{""ImportId"":""QID50_PAGE_SUBMIT""}","{""ImportId"":""QID50_CLICK_COUNT""}","{""ImportId"":""QID53_TEXT""}"
2022-05-18 09:38:36,2022-05-18 09:46:24,0,79,467,0,2022-05-25 09:46:58,R_2QhVhS7x3hq6XKf,anonymous,SK,1,36,1,5,2,,29,2,3,3,3,"4,5,9,12,14","1,3,6",4,4,5,6,2.841,21.861,23.316,8,31,3.396,27.446,28.458,2,31,9.389,9.389,10.351,1,31,8.201,8.201,9.301,1,31,9.701,9.701,10.716,1,34,101.551,101.551,102.201,1,31,3.768,3.768,4.579,1,31,10.901,10.901,11.653,1,34,3.6,3.6,4.568,1,,,,,,,,,,,,,,,,,,,,,
2022-05-18 20:24:10,2022-05-18 20:27:00,0,83,170,0,2022-05-25 20:27:09,R_1nUxCAfYXJc9EUW,anonymous,SK,1,44,2,5,2,,29,3,4,2,4,4,"1,3,6,8",5,5,5,5,0.967,2.144,2.638,2,34,8.727,8.727,9.508,1,34,2.442,5.702,6.735,2,31,4.489,4.489,5.281,1,34,3.392,3.392,3.949,1,31,9.071,9.071,9.907,1,34,3.189,3.189,3.752,1,31,2.314,4.539,5.195,2,34,3.038,3.038,3.548,1,31,2.445,3.114,3.145,2,,,,,,,,,,,,,,,,
2022-05-18 20:13:54,2022-05-18 20:21:09,0,93,434,0,2022-05-25 23:52:24,R_3EnDsvWAIogkXzz,anonymous,SK,1,50,1,4,1,1,131,3,2,1,4,"4,12","1,3,4,6,7,8",2,2,5,5,17.987,20.706,21.784,3,31,17.303,33.155,34.564,3,31,6.705,29.302,32.198,8,31,2.327,29.614,31.054,6,31,9.286,11.787,13.248,3,34,5.904,7.871,9.331,3,34,5.604,7.554,8.945,3,34,4.115,6.165,7.609,3,31,3.919,5.753,7.047,3,34,2.036,3.784,5.125,3,34,5.995,7.578,8.917,3,31,5.177,11.979,12.652,8,,,,,,
2022-05-19 11:15:22,2022-05-19 11:20:22,0,50,299,0,2022-05-26 11:20:27,R_2EnQRnC5z6MEkB0,anonymous,SK,1,40,1,3,1,1,21,1,1,5,2,"5,9,12,14","1,2,3,6",2,1,6,6,0,0,23.563,0,31,24.229,24.229,26.333,1,31,6.44,6.44,7.886,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 17:10:47,2022-05-19 17:18:52,0,79,485,0,2022-05-26 18:36:27,R_2trGXz4cYEDIRpV,anonymous,SK,1,48,1,3,1,2,42,1,4,4,2,"5,9,12,14","1,3,6",5,4,4,5,4.617,11.921,15.101,6,34,9.235,22.501,25.182,4,34,7.698,10.901,12.547,2,34,1.602,5.453,6.126,4,34,0.701,29.383,30.432,2,34,24.844,31.367,32.509,3,31,9.119,20.901,21.816,2,31,2.353,10.501,12.038,2,34,8.219,8.701,9.576,2,,,,,,,,,,,,,,,,,,,,,
2022-05-19 18:35:00,2022-05-19 18:42:54,0,60,473,0,2022-05-26 18:42:55,R_3Don6Yln25DC0o5,anonymous,SK,1,66,2,1,2,,58,3,1,3,3,4,"1,6,8",4,1,6,6,12.764,13.506,15.984,2,31,31.546,31.546,33.069,1,34,11.795,11.795,13.265,1,31,8.3,8.3,9.738,1,31,8.493,8.493,9.917,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20 06:03:27,2022-05-20 06:10:20,0,50,413,0,2022-05-27 06:10:25,R_3kMrDfvEZspW2kd,anonymous,SK,1,31,1,2,1,2,20,3,2,2,4,"12,14","1,3,6,7",1,1,6,6,1.539,37.669,38.225,11,34,41.337,42.891,44.012,2,34,2.257,3.311,4.301,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20 18:11:01,2022-05-20 18:16:03,0,50,302,0,2022-05-27 18:16:07,R_3Mg26j5vNy3yWt8,anonymous,SK,1,48,1,5,1,4,87,1,7,2,4,"3,5,14","1,5,6,7,8",2,4,5,6,1.371,26.192,27.856,7,34,21.547,24.702,25.858,2,34,15.701,15.701,16.894,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
